Award Type, Category, Award Amount
Best Picture, Academy Award Winners, 142.6
Director, Academy Award Winners, 125.3
Best Actor, Academy Award Winners, 62.0
Best Actress, Academy Award Winners, 81.0
Editing, Academy Award Winners, 145.6
Visual Effects, Academy Award Winners, 319.4
Cinematography, Academy Award Winners,178.1
Best Picture, Academy Award Nominees, 109.4
Director, Academy Award Nominees, 94.8
Best Actor, Academy Award Nominees, 60.7
Best Actress, Academy Award Nominees,44.6
Editing, Academy Award Nominees, 116.9
Visual Effects, Academy Award Nominees, 262.5
Cinematography, Academy Award Nominees, 102.0

